t_ticks,kind,dx,dy
6262512124156,m,1,0
6262512147166,m,1,0
6262512171105,m,1,0
6262512195285,m,1,0
6262512219272,m,1,0
6262512243206,m,2,0
6262512267333,m,0,0
6262512290939,m,2,0
6262512315489,m,1,0
6262512339351,m,2,0
6262512363337,m,2,0
6262512386868,m,1,0
6262512410859,m,2,0
6262512435218,m,2,0
6262512460309,m,2,0
6262512483222,m,1,0
6262512507285,m,2,0
6262512530937,m,2,0
6262512555416,m,2,0
6262512579187,m,2,0
6262512603394,m,2,0
6262512626899,m,2,0
6262512650785,m,2,0
6262512674883,m,2,0
6262512699286,m,2,0
6262512701798,a,0,0
6262512723363,m,2,0
6262512747019,m,2,0
6262512770888,m,3,0
6262512795144,m,2,0
6262512818824,m,1,0
6262512843831,m,3,0
6262512867253,m,2,0
6262512890937,m,2,0
6262512914969,m,2,0
6262512938911,m,2,0
6262512962872,m,2,0
6262512987050,m,2,0
6262513010892,m,2,0
6262513034887,m,3,0
6262513059252,m,1,0
6262513083230,m,2,0
6262513106828,m,2,0
6262513131155,m,2,0
6262513155202,m,2,0
6262513178839,m,2,0
6262513202839,m,2,0
6262513227055,m,1,0
6262513250906,m,2,0
6262513275008,m,2,0
6262513299283,m,2,0
6262513323346,m,1,0
6262513347277,m,2,0
6262513370902,m,2,0
6262513373834,s,0,0
6262513394936,m,2,0
6262513419571,m,1,0
6262513443315,m,2,0
6262513466877,m,2,0
6262513490866,m,2,0
6262513515042,m,1,0
6262513539281,m,2,0
6262513563649,m,2,0
6262513587018,m,2,0
6262513611253,m,1,0
6262513634905,m,2,0
6262513658852,m,1,0
6262513682881,Lu,0,0
6262513682881,m,3,0
6262513707169,m,1,0
6262513731084,m,2,0
6262513754966,m,2,0
6262513778862,m,2,0
6262513802876,m,1,0
6262513827027,m,3,0
6262513851502,m,2,0
6262513875138,m,2,0
6262513899512,m,2,0
6262513922906,m,3,0
6262513946830,m,2,0
6262513971254,m,2,0
6262513995257,m,3,0
6262514018848,m,2,0
6262514042901,m,2,0
6262514066999,m,4,0
6262514091079,m,1,0
6262514115084,m,3,0
6262514139628,m,4,0
6262514162984,m,2,0
6262514187616,m,3,0
6262514211189,m,2,0
6262514234916,m,3,0
6262514259003,m,3,0
6262514283148,m,2,0
6262514306997,m,3,0
6262514331170,m,3,0
6262514354833,m,3,0
6262514378795,m,3,0
6262514403422,m,2,0
6262514427211,m,3,0
6262514451135,m,3,0
6262514475376,m,2,0
6262514498947,m,3,0
6262514523589,m,2,0
6262514525885,Su,0,0
6262514547508,m,3,0
6262514572025,m,3,0
6262514594763,m,2,0
6262514619017,m,3,0
6262514642983,m,3,0
6262514667077,m,1,0
6262514691203,m,3,0
6262514715081,m,3,0
6262514738785,m,1,0
6262514743028,d,0,0
6262514762934,m,3,0
6262514786878,m,2,0
6262514810955,m,2,0
6262514835067,m,2,0
6262514858903,m,2,0
6262514883035,m,2,0
