t_ticks,kind,dx,dy
6251420272243,m,-1,0
6251420320506,m,-1,0
6251420344273,m,-1,0
6251420368286,m,0,0
6251420392230,m,-1,0
6251420416335,m,-1,-1
6251420441381,m,-1,0
6251420464227,m,-1,0
6251420536955,m,-1,0
6251420560563,m,-2,0
6251420584582,m,-1,0
6251420608592,m,-1,-1
6251420632267,m,-1,0
6251420656250,m,-1,0
6251420680534,m,-1,0
6251420704182,m,-1,0
6251420728204,m,-1,0
6251420752370,m,0,0
6251420776270,m,-2,0
6251420848704,m,-1,0
6251420872452,m,-3,-1
6251420898126,m,-1,0
6251420968481,m,-1,0
6251420992794,m,-3,0
6251421016482,m,-1,0
6251421040258,m,-1,0
6251421064281,m,-1,0
6251421112413,m,-1,0
6251421136308,m,-1,0
6251421160614,m,-1,0
6251421184222,m,-1,0
6251421208374,m,-1,0
6251421232823,m,-2,0
6251421256437,m,0,0
6251421281015,m,-1,0
6251421304663,m,-1,0
6251421328408,m,-1,0
6251421352419,m,-1,0
6251421376484,m,-2,0
6251421400516,m,-1,0
6251421424367,m,0,0
6251421448479,m,-1,0
6251421472622,m,-1,0
6251421496223,m,-2,0
6251421520130,m,-1,0
6251421544579,m,-1,0
6251421568269,m,-1,0
6251421592253,m,0,0
6251421616473,m,-1,0
6251421640175,m,-1,0
6251421664595,m,-2,0
6251421688876,m,-1,0
6251421712605,m,-1,0
6251421736398,m,-1,0
6251421760343,m,0,0
6251421784366,m,-1,0
6251421808269,m,-2,0
6251421856394,m,-1,0
6251421880376,m,-3,0
6251421904316,m,0,0
6251421928241,m,-1,0
6251421952924,m,-1,0
6251421976472,m,-1,0
6251422073181,m,-2,0
6251422096561,m,-2,1
6251422120910,m,-1,0
6251422144801,m,-1,0
6251422168379,m,-1,0
6251422194086,m,-1,0
6251422216558,m,-1,0
6251422241580,m,-1,0
6251422264225,m,-1,0
6251422288514,m,0,0
6251422312433,m,-1,0
6251422360707,m,-1,0
6251422384328,m,-3,0
6251422408389,m,-1,0
6251422433511,m,-1,0
6251422456509,m,0,0
6251422528998,m,-1,1
6251422552505,m,-2,0
6251422576277,m,-1,0
6251422600236,m,-1,0
6251422624255,m,-1,0
6251422696996,m,-1,0
6251422768783,m,-1,0
6251422792512,m,-2,0
6251422816276,m,-1,0
6251422840611,m,-1,0
6251423008824,m,-2,0
6251423032483,m,-1,0
6251423201862,m,-1,0
6251423417041,m,-1,0
6251423422261,d,0,0
6251423656779,m,-1,0
6251425438071,d,0,0
6251426731684,Du,0,0
6251427211744,a,0,0
6251427281229,m,0,0
6251427305189,m,1,0
6251427400940,m,2,0
6251427424542,m,0,0
6251427449208,m,1,0
6251427472756,m,1,0
6251427496579,m,1,0
6251427520534,m,2,0
6251427544691,m,1,0
6251427568456,m,1,0
6251427592481,m,1,0
6251427616632,m,2,0
6251427640577,m,2,0
6251427664417,m,2,0
6251427688640,m,1,0
6251427712786,m,2,0
6251427736433,m,3,0
6251427761159,m,1,0
6251427784676,m,3,0
6251427808480,m,3,0
6251427832487,m,2,0
6251427856421,m,3,0
6251427880440,m,3,0
6251427904539,m,3,0
6251427929043,m,3,0
6251427952675,m,3,0
6251427976302,m,4,0
6251428000666,m,2,0
6251428024584,m,4,0
6251428048895,m,3,0
6251428073169,m,4,0
6251428096793,m,4,0
6251428120704,m,4,0
6251428144421,m,3,0
